Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.214799;0.0428148;0.00363012;3.23213e-06;14.8798;27;0.00241678;0.00547426;0.012216;0.0173536;0.0213145;0.0256945;0.0303707;0.0331942;0.0362765;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 2;0.241778;0.0375692;0.00230474;2.92807e-06;9.75264;18;0.00255086;0.00551242;0.0119002;0.0166194;0.0201569;0.0239531;0.0278561;0.0301341;0.0325614;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 3;0.249999;0.0398259;0.00236392;3.02919e-06;13.5112;25;0.00251102;0.00576658;0.0127406;0.0178441;0.0216373;0.0256718;0.0297751;0.0321477;0.0346606;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 4;0.232029;0.0385927;0.00151694;2.55675e-06;13.0539;24;0.00229715;0.00525146;0.0116772;0.0164801;0.0201179;0.0240645;0.0281769;0.0306055;0.0332141;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 5;0.22315;0.0364876;0.000964209;2.32725e-06;10.0507;18;0.00244251;0.00511443;0.0109701;0.0153932;0.0187753;0.0224817;0.0263927;0.0287287;0.0312581;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 6;0.249999;0.0346842;0.004999;1.57345e-06;15.1584;27;0.00190297;0.00476038;0.010872;0.015337;0.0186521;0.0221752;0.0257562;0.0278261;0.0300179;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 7;0.244702;0.0277885;0.004999;8.61085e-07;14.6131;25;0.00184588;0.00406186;0.00881977;0.012315;0.0149232;0.0177101;0.0205617;0.0222195;0.0239818;0.00347;0.00642;0.01001;0.01393;0.01709;0.02031;0.02354;0.02606;0.02981;
 8;0.249999;0.0318292;0.0025663;1.15787e-06;13.6391;24;0.00202789;0.00462765;0.0101958;0.0142697;0.0172973;0.0205172;0.0237918;0.0256851;0.0276903;0.00428;0.00692;0.00954;0.01289;0.01564;0.01849;0.02152;0.02409;0.02847;
 9;0.246615;0.0310296;0.004999;8.41541e-07;12.6219;24;0.00223428;0.0047122;0.0100255;0.0139212;0.0168231;0.0199178;0.0230768;0.0249096;0.026855;0.00366;0.00612;0.00893;0.0128;0.01585;0.01865;0.02146;0.02431;0.02832;
 10;0.243848;0.0334734;0.000658134;1.19979e-06;9.99706;19;0.00237022;0.0050222;0.0107344;0.014946;0.0180971;0.0214716;0.024932;0.026947;0.0290908;0.00321;0.00588;0.00949;0.01333;0.01625;0.01903;0.02202;0.02486;0.02875;
