Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.248522;0.049999;0.00063899;2.05791e-05;18.1985;35;0.0398298;0.0407123;0.0426056;0.0439939;0.0450275;0.0461288;0.0472511;0.0479012;0.0485904;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 2;0.249999;0.0499995;1.1e-05;3.65082e-05;16.6069;31;0.0308696;0.0325389;0.0361164;0.0387354;0.0406825;0.0427538;0.0448608;0.0460793;0.0473697;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 3;0.248553;0.049999;0.00135964;3.07439e-05;12.5515;24;0.0303319;0.0320386;0.0356998;0.0383839;0.040382;0.0425107;0.0446799;0.0459363;0.0472683;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 4;0.249999;0.049999;1.1e-05;2.21305e-05;9.19236;18;0.0311779;0.0328203;0.03634;0.0389168;0.0408324;0.0428703;0.0449433;0.0461421;0.0474117;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 5;0.248981;0.049999;0.00126011;1.48203e-05;8.15339;16;0.0233754;0.0256897;0.0306527;0.0342898;0.0369963;0.0398784;0.0428139;0.0445133;0.0463144;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 6;0.249999;0.049999;0.00248202;1.66135e-05;8.45367;16;0.0232035;0.025541;0.0305474;0.0342102;0.0369322;0.039827;0.0427711;0.0444733;0.046276;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 7;0.249999;0.049999;1.1e-05;1.93357e-05;9.10717;18;0.0122507;0.0155448;0.0226041;0.027772;0.0316142;0.0357014;0.0398591;0.0422634;0.0448098;0.00347;0.00642;0.01001;0.01393;0.01709;0.02031;0.02354;0.02606;0.02981;
 8;0.249999;0.049999;1.1e-05;1.77536e-05;7.56952;15;0.0106375;0.0140724;0.0214333;0.0268221;0.0308284;0.0350904;0.0394258;0.0419328;0.0445881;0.00428;0.00692;0.00954;0.01289;0.01564;0.01849;0.02152;0.02409;0.02847;
 9;0.249999;0.049999;0.00207382;2.49921e-05;11.1259;22;0.00540786;0.00929854;0.0176343;0.0237351;0.02827;0.0330937;0.0379999;0.040837;0.0438416;0.00366;0.00612;0.00893;0.0128;0.01585;0.01865;0.02146;0.02431;0.02832;
 10;0.249999;0.049999;1.1e-05;4.87496e-05;12.8478;25;0.00700937;0.0107609;0.0188003;0.0246858;0.0290614;0.0337162;0.0384512;0.0411893;0.0440893;0.00321;0.00588;0.00949;0.01333;0.01625;0.01903;0.02202;0.02486;0.02875;
 11;0.249999;0.0499924;0.000853045;5.59954e-05;12.7255;25;0.0119127;0.0152356;0.0223563;0.0275689;0.0314442;0.0355666;0.0397599;0.0421848;0.044753;0.00372;0.0073;0.01051;0.01414;0.01679;0.01913;0.02158;0.02427;0.02843;
 12;0.24992;0.049999;0.00175258;6.03537e-05;21.0578;41;0.00975878;0.0132689;0.0207902;0.0262957;0.0303886;0.0347426;0.0391717;0.041733;0.0444459;0.00303;0.00525;0.00724;0.0106;0.0132;0.01549;0.01786;0.02064;0.02536;
 13;0.249999;0.049999;0.00017255;6.38029e-05;8.61004;17;0.00889227;0.0124794;0.0201668;0.0257945;0.0299784;0.0344293;0.0389568;0.041575;0.044348;0.00279835;0.00416471;0.00740787;0.0101522;0.0124856;0.0153662;0.0189402;0.0214589;0.0246364;
 14;0.249999;0.049999;0.00119689;4.04138e-05;8.63641;17;0.00928592;0.0128386;0.0204512;0.0260237;0.0301664;0.0345732;0.0390557;0.0416478;0.0443931;0.0038949;0.0058669;0.01027;0.0136868;0.0163662;0.0193857;0.0226906;0.0247345;0.0270087;
 15;0.249999;0.049999;1.1e-05;2.23969e-05;9.20631;18;0.0104032;0.0138586;0.0212633;0.0266842;0.0307144;0.0350017;0.0393629;0.0418848;0.0445559;0.00330678;0.00512693;0.00933134;0.012752;0.015553;0.0188629;0.0227212;0.0252616;0.0282488;
 16;0.249999;0.049999;0.00243271;6.6436e-05;8.81964;17;0.00829049;0.0119294;0.0197249;0.0254295;0.0296696;0.0341795;0.0387663;0.0414186;0.0442275;0.0036997;0.00536972;0.00926584;0.0124804;0.0151469;0.0183446;0.0221478;0.0247051;0.027774;
 17;0.248071;0.0478218;0.004999;1.65141e-05;9.12402;18;0.00428336;0.00805223;0.0161301;0.0220476;0.0264513;0.0311422;0.035923;0.0386926;0.0416296;0.00444458;0.00602545;0.00973344;0.0128162;0.0153918;0.0185057;0.0222517;0.0248012;0.0278982;
 18;0.249999;0.0379512;0.00352108;1.42496e-05;12.2776;24;0.00261176;0.00569405;0.0122936;0.0171203;0.0207066;0.02452;0.0283977;0.0306396;0.0330138;0.00351067;0.00545494;0.00991809;0.0135187;0.0164449;0.019875;0.0238313;0.026409;0.029411;
 19;0.241175;0.0495531;0.00169239;1.38883e-05;8.58301;17;0.00407301;0.00791091;0.016195;0.022321;0.0269167;0.0318523;0.0369315;0.0398982;0.043061;0.00403322;0.00682869;0.012812;0.0171875;0.0204389;0.0238977;0.0274171;0.0294534;0.031611;
 20;0.249999;0.049999;5.36607e-05;1.17755e-05;8.05151;16;0.00459656;0.0085586;0.0170493;0.0232651;0.0278863;0.0328023;0.0378031;0.0406949;0.0437576;0.00301668;0.00590349;0.0120796;0.0165929;0.0199445;0.0235069;0.0271281;0.0292214;0.031438;
 21;0.202085;0.0499938;0.000478708;5.25267e-06;8.60243;17;0.00268255;0.00606537;0.0136127;0.0194583;0.024031;0.0291668;0.0347593;0.0381989;0.0420076;0.00251634;0.0052376;0.0111645;0.0156026;0.0189697;0.0226288;0.0264497;0.0287104;0.0311418;
 22;0.249999;0.049999;1.1e-05;1.02215e-05;8.16955;16;0.00277752;0.0068983;0.0157291;0.022194;0.0270003;0.0321134;0.0373144;0.0403221;0.0435076;0.00209895;0.00458781;0.0101327;0.0144187;0.0177652;0.0215162;0.02559;0.0280893;0.0308514;
 23;0.249999;0.049999;0.000947509;2.36142e-05;7.86198;15;0.00409674;0.00810228;0.0166858;0.0229692;0.0276405;0.0326097;0.0376644;0.0405874;0.0436832;0.00219284;0.00506626;0.0112694;0.0158575;0.0192998;0.022997;0.0268021;0.0290248;0.0313944;
 24;0.249999;0.049999;1.1e-05;2.31408e-05;9.64045;19;0.0038712;0.00789654;0.0165229;0.022838;0.027533;0.0325276;0.0376082;0.0405462;0.0436579;0.00190703;0.004826;0.0110812;0.0156605;0.0190649;0.0226865;0.0263704;0.0285008;0.030757;
 25;0.249999;0.049999;0.00035607;2.32957e-05;9.10989;18;0.00270877;0.00683554;0.0156791;0.0221533;0.0269665;0.0320869;0.0372954;0.0403073;0.0434973;0.0022601;0.00528636;0.0118405;0.01671;0.0203784;0.0243355;0.0284297;0.0308325;0.0334022;
