Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.0795294;0.0478385;0.002119;2.92749e-06;25.5668;29;0.00095432;0.00232002;0.00570619;0.00875425;0.0115024;0.0151348;0.0201098;0.0240293;0.0296593;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 2;0.0791334;0.049352;0.00125948;3.52862e-06;21.9044;24;0.001053;0.00245351;0.00592944;0.00906252;0.0118908;0.0156341;0.0207706;0.0248252;0.0306618;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 3;0.0837527;0.0499552;0.000122935;4.21894e-06;25.9892;29;0.00124173;0.00273497;0.00642709;0.00973691;0.0127088;0.016617;0.0219277;0.0260718;0.0319513;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 4;0.0856343;0.049999;0.00055935;3.00248e-06;23.3508;28;0.00111416;0.00264545;0.0064251;0.009805;0.0128326;0.0168027;0.0221749;0.0263465;0.0322294;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 5;0.0819409;0.049999;1.1e-05;3.1601e-06;20.5051;25;0.000949237;0.00242103;0.006066;0.00934113;0.0122885;0.0161748;0.021477;0.0256339;0.0315659;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 6;0.0889045;0.0495307;1.1e-05;4.15644e-06;29.06;33;0.00175442;0.00330672;0.00712736;0.01053;0.0135659;0.0175281;0.0228519;0.0269521;0.0326759;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 7;0.105781;0.049999;1.1e-05;5.03552e-06;21.7186;26;0.00178194;0.00363692;0.00813497;0.0120561;0.0154833;0.0198487;0.0255073;0.0296895;0.0352477;0.00347;0.00642;0.01001;0.01393;0.01709;0.02031;0.02354;0.02606;0.02981;
 8;0.102497;0.049999;1.1e-05;4.92779e-06;28.1302;28;0.00115191;0.0029745;0.00740681;0.0112867;0.0146914;0.0190484;0.0247352;0.028971;0.0346521;0.00428;0.00692;0.00954;0.01289;0.01564;0.01849;0.02152;0.02409;0.02847;
 9;0.103573;0.049999;1.1e-05;4.75097e-06;22.4046;32;0.00108046;0.0029243;0.00740405;0.0113202;0.0147521;0.0191373;0.0248479;0.0290907;0.0347639;0.00366;0.00612;0.00893;0.0128;0.01585;0.01865;0.02146;0.02431;0.02832;
 10;0.087976;0.049999;1.1e-05;4.87186e-06;18.6531;22;0.00171361;0.00326648;0.00709167;0.0105024;0.013549;0.0175305;0.0228912;0.0270295;0.0328231;0.00321;0.00588;0.00949;0.01333;0.01625;0.01903;0.02202;0.02486;0.02875;
 11;0.121986;0.049999;1.1e-05;4.48753e-06;20.3409;25;0.0016691;0.00380329;0.00890529;0.0132633;0.016999;0.0216503;0.0274842;0.0316394;0.0369354;0.00372;0.0073;0.01051;0.01414;0.01679;0.01913;0.02158;0.02427;0.02843;
 12;0.151172;0.049999;1.1e-05;4.46443e-06;18.5181;20;0.00239279;0.00497632;0.0109976;0.0159581;0.020067;0.0249856;0.030821;0.0347342;0.039417;0.00303;0.00525;0.00724;0.0106;0.0132;0.01549;0.01786;0.02064;0.02536;
 13;0.163008;0.049999;0.000128406;6.28421e-06;28.8185;33;0.00207911;0.00487381;0.011321;0.0165559;0.0208335;0.025876;0.031733;0.0355744;0.0400739;0.00295935;0.00433527;0.00758639;0.010318;0.0126236;0.0154438;0.0188936;0.0212847;0.0242449;
 14;0.17296;0.049999;0.00123764;5.06973e-06;25.5034;37;0.00222088;0.00516885;0.0119108;0.0173182;0.0216868;0.0267712;0.0325753;0.0363153;0.0406248;0.00391499;0.00590188;0.0103403;0.0137868;0.0164911;0.0195407;0.0228812;0.0249489;0.027251;
 15;0.166441;0.049999;0.00139443;6.37841e-06;27.4091;30;0.00213052;0.00497797;0.0115263;0.01682;0.0211282;0.0261838;0.0320199;0.0358238;0.0402532;0.00336767;0.00521933;0.00947156;0.012902;0.0156885;0.0189513;0.0227067;0.0251469;0.0279802;
 16;0.154229;0.049999;0.00025263;6.62136e-06;23.4164;26;0.00222528;0.00486803;0.011011;0.0160527;0.0202142;0.0251758;0.0310296;0.0349322;0.0395755;0.00348215;0.00517581;0.00912106;0.0123715;0.0150663;0.0182979;0.022146;0.0247392;0.0278605;
 17;0.178495;0.049999;1.1e-05;9.11026e-06;23.4624;26;0.00196125;0.0050155;0.0119683;0.0175085;0.0219569;0.027099;0.032915;0.0366276;0.0408698;0.00423673;0.00584329;0.00960652;0.012729;0.015333;0.0184742;0.022241;0.0247958;0.0278881;
 18;0.210511;0.049999;0.00144413;7.43944e-06;25.522;28;0.00215555;0.00571031;0.0135839;0.0196204;0.024299;0.0295014;0.0350937;0.0384915;0.0422182;0.00368693;0.00568576;0.0102375;0.0138662;0.0167814;0.0201533;0.0239704;0.0264094;0.0291986;
 19;0.165486;0.049999;1.1e-05;6.2134e-06;13.9114;17;0.00257827;0.00538393;0.0118426;0.0170709;0.0213312;0.0263373;0.0321268;0.0359071;0.0403163;0.00401691;0.00682471;0.0128316;0.0172214;0.0204817;0.0239477;0.0274719;0.0295097;0.031668;
