Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.249999;0.049999;1.1e-05;0.000154006;25.6962;50;0.00914062;0.0127061;0.020347;0.0259408;0.0300994;0.0345235;0.0390237;0.0416261;0.0443823;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 2;0.249999;0.049999;1.1e-05;8.95574e-05;12.4641;25;0.00917235;0.0127351;0.02037;0.0259594;0.0301149;0.0345355;0.0390322;0.0416326;0.0443866;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 3;0.249999;0.049999;1.1e-05;4.68037e-05;10.4196;21;0.00763591;0.0113327;0.019255;0.0250547;0.0293666;0.0339535;0.0386195;0.0413177;0.0441754;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 4;0.249999;0.049999;1.1e-05;8.87023e-05;9.39597;19;0.00691373;0.0106736;0.0187309;0.0246295;0.0290148;0.03368;0.0384255;0.0411697;0.0440762;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 5;0.249999;0.049999;1.1e-05;0.00013722;8.77485;17;0.00471387;0.00866567;0.0171344;0.0233342;0.0279434;0.0328468;0.0378346;0.0407189;0.0437737;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 6;0.249999;0.049999;1.1e-05;7.3821e-05;15.0034;29;0.00472429;0.00867518;0.017142;0.0233403;0.0279485;0.0328507;0.0378374;0.040721;0.0437752;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 7;0.249999;0.049999;0.00114688;8.79404e-05;18.6396;36;0.00443298;0.00840913;0.0169294;0.0231664;0.0278031;0.0327355;0.0377527;0.040654;0.0437267;0.00347;0.00642;0.01001;0.01393;0.01709;0.02031;0.02354;0.02606;0.02981;
 8;0.249999;0.049999;0.000865504;5.24928e-05;12.3594;24;0.0047087;0.00866085;0.01713;0.0233298;0.0279389;0.032842;0.0378295;0.0407136;0.0437682;0.00428;0.00692;0.00954;0.01289;0.01564;0.01849;0.02152;0.02409;0.02847;
 9;0.249999;0.049999;1.1e-05;7.4826e-05;12.3442;24;0.00367083;0.00771365;0.0163774;0.02272;0.0274354;0.0324517;0.0375544;0.0405052;0.0436304;0.00366;0.00612;0.00893;0.0128;0.01585;0.01865;0.02146;0.02431;0.02832;
 10;0.249999;0.049999;0.000543618;6.97007e-05;18.5663;36;0.00365638;0.00770043;0.0163667;0.022711;0.0274276;0.0324451;0.0375491;0.0405005;0.0436265;0.00321;0.00588;0.00949;0.01333;0.01625;0.01903;0.02202;0.02486;0.02875;
 11;0.249986;0.049999;1.1e-05;2.33441e-05;20.2838;39;0.00366524;0.00770835;0.0163729;0.0227161;0.027432;0.0324489;0.0375523;0.0405035;0.0436293;0.00372;0.0073;0.01051;0.01414;0.01679;0.01913;0.02158;0.02427;0.02843;
 12;0.249999;0.049999;0.000298705;2.02743e-05;8.63741;17;0.00966326;0.0131831;0.0207262;0.0262483;0.0303537;0.0347211;0.0391636;0.0417327;0.0444536;0.00303;0.00525;0.00724;0.0106;0.0132;0.01549;0.01786;0.02064;0.02536;
 13;0.249999;0.049999;1.1e-05;0.000128697;8.55953;17;0.010497;0.0139442;0.0213314;0.0267394;0.03076;0.0350372;0.039388;0.041904;0.0445687;0.00280025;0.00412228;0.0072772;0.00996755;0.0122719;0.0151413;0.0187455;0.0213208;0.0246199;
 14;0.249999;0.049999;1.1e-05;0.000109441;9.07706;18;0.0110054;0.0144082;0.0217004;0.0270388;0.0310077;0.0352298;0.0395246;0.0420082;0.0446386;0.00383938;0.00583194;0.0102784;0.0137239;0.0164206;0.0194517;0.0227561;0.0247908;0.0270462;
 15;0.249999;0.049999;0.00123402;4.92109e-05;14.4829;28;0.0105837;0.014023;0.0213929;0.0267877;0.0307982;0.0350644;0.0394039;0.0419132;0.0445709;0.00337416;0.00524751;0.00954096;0.0129949;0.0157929;0.0190594;0.0228036;0.0252262;0.0280282;
 16;0.249993;0.0499903;1.1e-05;0.000147706;26.1877;50;0.00267231;0.00680142;0.0156502;0.0221282;0.0269443;0.0320678;0.0372796;0.0402934;0.0434855;0.00375127;0.00546581;0.00943676;0.0126818;0.0153516;0.0185256;0.0222596;0.024744;0.0276964;
 17;0.249999;0.049999;0.00102375;0.000152827;16.427;32;0.0025715;0.00671012;0.0155787;0.0220708;0.0268972;0.0320314;0.037254;0.040274;0.0434725;0.00417122;0.00577456;0.00952873;0.012642;0.0152368;0.0183649;0.0221129;0.0246527;0.0277239;
 18;0.249747;0.049999;1.1e-05;7.86982e-05;8.59866;17;0.0103812;0.0138352;0.0212387;0.0266603;0.0306919;0.0349821;0.0393475;0.0418726;0.0445475;0.00377522;0.00576002;0.0102867;0.0139044;0.0168184;0.0201996;0.0240453;0.0265149;0.0293525;
 19;0.249999;0.049999;0.000472203;6.15661e-05;11.769;23;0.0107177;0.0141456;0.0214914;0.026869;0.0308669;0.03512;0.0394462;0.041948;0.0445977;0.00407406;0.00689159;0.0129184;0.0173218;0.0205914;0.0240663;0.0275983;0.0296399;0.0318019;
 20;0.249999;0.049999;1.84547e-05;4.49027e-05;12.36;24;0.0108865;0.0142996;0.021614;0.0269687;0.0309497;0.0351847;0.0394927;0.0419838;0.0446223;0.00293289;0.00581968;0.0120045;0.0165312;0.0198962;0.0234758;0.0271171;0.029223;0.0314535;
 21;0.249999;0.049999;0.000365497;3.45003e-05;10.5915;21;0.010885;0.0142982;0.0216128;0.0269676;0.0309486;0.0351837;0.0394916;0.0419828;0.0446212;0.00240494;0.00519155;0.0112071;0.0156559;0.0189936;0.0225782;0.026267;0.0284215;0.0307183;
 22;0.249724;0.049999;1.1e-05;0.000198859;25.815;50;0.00290894;0.00701406;0.0158134;0.0222572;0.0270492;0.0321485;0.0373375;0.0403391;0.0435188;0.00198324;0.00436608;0.0097402;0.0139666;0.0173194;0.0211436;0.0253929;0.028058;0.0310573;
 23;0.249999;0.049999;1.1e-05;0.0002331;8.7609;17;0.00319613;0.00728038;0.016033;0.0224405;0.0272042;0.0322719;0.0374269;0.0404079;0.0435651;0.00205509;0.0049367;0.0111494;0.0157377;0.0191766;0.0228671;0.0266621;0.0288777;0.0312389;
 24;0.249999;0.0499781;5.83788e-05;0.000199147;25.8044;50;0.00596514;0.00980592;0.0180367;0.0240623;0.0285421;0.0333077;0.0381554;0.0409587;0.0439277;0.0016856;0.00461219;0.0108839;0.0154753;0.0188887;0.02252;0.0262138;0.0283499;0.0306122;
 25;0.249999;0.049999;0.000822247;0.000162248;22.6424;44;0.00680442;0.0105737;0.018651;0.0245639;0.0289598;0.0336361;0.0383928;0.0411435;0.0440568;0.00215472;0.00518761;0.0117384;0.0165886;0.0202319;0.0241508;0.0281923;0.0305575;0.0330824;
 26;0.249999;0.0499888;0.00091499;9.31253e-05;15.1709;30;0.00737789;0.0110962;0.0190642;0.0248971;0.0292334;0.0338464;0.0385386;0.041252;0.0441258;0.00220652;0.00490402;0.010768;0.0151475;0.0184621;0.0220554;0.0257959;0.0280029;0.030372;
 27;0.249824;0.049999;0.00113044;8.07099e-05;26.5968;50;0.00991476;0.0134103;0.0209016;0.0263865;0.0304648;0.034804;0.0392187;0.0417721;0.0444768;0.00212416;0.00469581;0.0103001;0.0144999;0.0176884;0.021156;0.0247801;0.026926;0.0292352;
 28;0.249999;0.049999;1.1e-05;5.83172e-05;8.32487;17;0.0113663;0.0147375;0.0219622;0.0272513;0.0311834;0.0353664;0.0396215;0.0420822;0.0446882;0.00215513;0.00470062;0.0101438;0.0141194;0.0170707;0.0202068;0.0233941;0.0252363;0.027187;
 29;0.249999;0.049999;1.1e-05;9.29259e-05;25.9419;50;0.0135286;0.0167112;0.0235315;0.0285245;0.0322365;0.0361854;0.0402024;0.0425253;0.0449855;0.00207246;0.0047005;0.010322;0.0144293;0.017479;0.0207202;0.0240147;0.0259191;0.0279357;
 30;0.249999;0.0499948;1.1e-05;7.11694e-05;10.7231;21;0.0141424;0.017271;0.0239758;0.0288841;0.0325333;0.0364153;0.0403642;0.0426477;0.0450662;0.00181819;0.0039277;0.00851227;0.011935;0.0145248;0.0173314;0.0202518;0.0219744;0.0238231;
 31;0.249931;0.049999;1.1e-05;4.52864e-05;9.71988;19;0.0171136;0.0199827;0.0261313;0.030633;0.03398;0.0375408;0.0411633;0.0432582;0.0454771;0.0019297;0.00475391;0.0107944;0.0152073;0.0184836;0.0219656;0.0255046;0.0275503;0.0297165;
 32;0.249899;0.049999;0.00145846;6.20806e-05;11.2054;22;0.0192019;0.0218881;0.0276442;0.0318578;0.0349904;0.0383229;0.041713;0.0436736;0.0457501;0.00240937;0.00506305;0.0108786;0.0152715;0.0186307;0.0223125;0.0261985;0.02852;0.0310343;
 33;0.249999;0.049999;0.000472275;8.38163e-05;12.2217;24;0.0191548;0.0218464;0.0276143;0.0318369;0.0349761;0.0383156;0.0417126;0.043677;0.0457575;0.0021658;0.00507521;0.0114276;0.0162013;0.019835;0.0237981;0.0279555;0.0304255;0.0330899;
 34;0.249999;0.049999;0.0025358;4.33938e-05;22.8977;44;0.0206365;0.023198;0.0286842;0.0326982;0.0356813;0.0388538;0.0420802;0.0439457;0.0459214;0.00247189;0.00574223;0.0127471;0.0178724;0.0216815;0.0257327;0.0298527;0.032235;0.034758;
 35;0.249999;0.049999;0.00259585;3.17813e-05;7.63044;15;0.021241;0.0237497;0.0291227;0.0330536;0.0359749;0.0390816;0.0422411;0.0440679;0.0460026;0.0024841;0.00536111;0.0116547;0.0163964;0.0200136;0.0239675;0.0281264;0.0306032;0.0332794;
 36;0.249223;0.049999;0.00315772;2.69137e-05;13.3966;26;0.0229565;0.0253083;0.0303466;0.0340347;0.0367771;0.0396955;0.042666;0.0443849;0.0462062;0.00247458;0.00555473;0.0123139;0.017429;0.021347;0.0256487;0.0301989;0.0329227;0.0358769;
