Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.239563;0.0275674;0.00257169;8.53516e-07;14.0391;25;0.00192294;0.00407284;0.00871721;0.0121562;0.0147395;0.017518;0.0203829;0.0220592;0.0238485;0.00065;0.00184;0.00805;0.01224;0.01517;0.01809;0.02066;0.02193;0.02415;
 2;0.249999;0.0319353;1.1e-05;1.13253e-06;13.1858;24;0.00207894;0.00468435;0.0102678;0.0143553;0.0173941;0.0206269;0.0239154;0.025817;0.027831;0.00067;0.00265;0.01048;0.01545;0.01849;0.02114;0.02363;0.0254;0.02741;
 3;0.232376;0.0315943;1.1e-05;9.32783e-07;10.1909;19;0.00215576;0.00455552;0.00977456;0.0136746;0.0166279;0.019831;0.0231673;0.0251368;0.0272517;0.0008;0.00275;0.00919;0.01412;0.01747;0.02047;0.02311;0.02493;0.02687;
 4;0.235924;0.0338576;0.00181819;9.76789e-07;13.4835;25;0.00224276;0.00485622;0.0105215;0.0147362;0.0179152;0.0213489;0.0249075;0.0269991;0.0292382;0.00069;0.00261;0.00958;0.01481;0.01837;0.02167;0.02486;0.02713;0.029;
 5;0.226384;0.035936;0.00249536;8.5252e-07;12.5666;24;0.00211451;0.0048042;0.0106802;0.0150995;0.018466;0.0221408;0.0259998;0.0282948;0.0307722;0.00065;0.00303;0.00973;0.01509;0.01876;0.0222;0.02569;0.02833;0.0302;
 6;0.233029;0.0386623;0.000447275;1.18662e-06;12.1622;23;0.00240255;0.00536609;0.0118076;0.0166174;0.0202571;0.0242016;0.0283066;0.0307279;0.0333264;0.00055;0.0032;0.01043;0.01679;0.02107;0.02464;0.02782;0.03069;0.03288;
 7;0.249999;0.0354864;5.9268e-05;4.79945e-07;11.5153;22;0.00174429;0.0046888;0.0109989;0.0156184;0.0190527;0.0227062;0.0264226;0.0285718;0.0308479;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 8;0.249881;0.0358428;0.004999;3.77009e-07;10.3158;19;0.00231705;0.00523814;0.0114869;0.0160528;0.0194434;0.0230473;0.0267109;0.0288289;0.0310719;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 9;0.200912;0.0366186;0.00143884;4.83503e-07;12.727;24;0.00199868;0.00446025;0.00995666;0.0142188;0.0175567;0.0213104;0.0254048;0.0279273;0.0307243;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 10;0.234932;0.0361426;0.00420368;5.82194e-07;13.6543;26;0.00257489;0.00533704;0.0113227;0.0157752;0.0191342;0.0227642;0.0265292;0.0287441;0.0311168;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 11;0.249999;0.0359874;0.00317491;5.1851e-07;12.5985;24;0.00304543;0.00591881;0.0120717;0.0165724;0.0199166;0.0234729;0.0270893;0.0291801;0.0313945;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 12;0.249999;0.0363088;0.00406112;6.81245e-07;16.8154;30;0.00398046;0.00679945;0.0128328;0.0172435;0.0205198;0.0240029;0.027544;0.0295912;0.0317591;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 
