Date;Alpha;Beta;Sigma;Error;Time;Iterations;    ModR0.25;ModR1;ModR3;ModR5;ModR7;ModR10;ModR15;ModR20;ModR30;    MarR0.25;MarR1;MarR3;MarR5;MarR7;MarR10;MarR15;MarR20;MarR30
1;0.249999;0.0499996;0.000507928;2.3262e-05;9.16244;18;0.00277452;0.00689558;0.0157269;0.022192;0.0269985;0.0321116;0.0373128;0.0403205;0.043506;0.00112;0.00375;0.01031;0.01607;0.01987;0.02291;0.02563;0.02838;0.03111;
 2;0.249999;0.049999;3.40232e-05;1.52528e-05;10.0102;19;0.00279225;0.00691174;0.0157398;0.0222027;0.0270075;0.0321189;0.0373184;0.0403251;0.0435096;0.00156;0.00423;0.01103;0.01624;0.01983;0.02314;0.02626;0.02861;0.03146;
 3;0.249999;0.049999;1.1e-05;1.04269e-05;8.80004;17;0.00300631;0.00710713;0.0158952;0.0223287;0.0271118;0.0322;0.0373759;0.040369;0.043539;0.00076;0.00377;0.0094;0.01444;0.0181;0.02152;0.02492;0.02776;0.03107;
 4;0.249999;0.049999;1.1e-05;1.48636e-05;9.19756;18;0.00281684;0.00693418;0.0157577;0.0222172;0.0270195;0.0321283;0.037325;0.0403302;0.043513;0.00095;0.00438;0.01087;0.01592;0.01943;0.02265;0.02566;0.02804;0.0316;
 5;0.249999;0.049999;1.1e-05;1.13323e-05;9.10329;18;0.00290148;0.00701144;0.0158191;0.022267;0.0270607;0.0321603;0.0373477;0.0403475;0.0435246;0.00216;0.00693;0.01256;0.01719;0.0204;0.02335;0.02624;0.02868;0.03219;
 6;0.249999;0.049999;1.1e-05;4.41522e-05;9.6248;19;0.00309594;0.00718893;0.0159602;0.0223815;0.0271554;0.032234;0.0374;0.0403874;0.0435513;0.00328;0.00769;0.01372;0.01823;0.02127;0.02392;0.02641;0.02869;0.03228;
 7;0.249999;0.049999;1.1e-05;2.69351e-05;9.67184;19;0.00292759;0.00703527;0.0158381;0.0222824;0.0270734;0.0321702;0.0373548;0.0403529;0.0435282;0.00347;0.00642;0.01001;0.01393;0.01709;0.02031;0.02354;0.02606;0.02981;
 8;0.249999;0.049999;3.21301e-05;2.70087e-05;8.65745;17;0.00310741;0.0071994;0.0159686;0.0223883;0.027161;0.0322383;0.0374031;0.0403897;0.0435529;0.00428;0.00692;0.00954;0.01289;0.01564;0.01849;0.02152;0.02409;0.02847;
 9;0.249999;0.049999;0.000330098;4.26162e-05;10.2363;20;0.00324855;0.00732821;0.0160709;0.0224712;0.0272295;0.0322914;0.0374404;0.040418;0.0435716;0.00366;0.00612;0.00893;0.0128;0.01585;0.01865;0.02146;0.02431;0.02832;
 10;0.249999;0.049999;0.000105937;2.53342e-05;10.6825;21;0.00324186;0.00732212;0.0160661;0.0224674;0.0272265;0.0322892;0.0374391;0.0404172;0.0435713;0.00321;0.00588;0.00949;0.01333;0.01625;0.01903;0.02202;0.02486;0.02875;
 11;0.249999;0.049999;1.1e-05;8.91264e-06;9.08837;18;0.00264944;0.00678139;0.0156362;0.0221186;0.026938;0.0320649;0.03728;0.0402959;0.04349;0.00372;0.0073;0.01051;0.01414;0.01679;0.01913;0.02158;0.02427;0.02843;
